node_id,node_type,node_name,node_description,parent_node_id
1,topic,Introducing the Matrix,Overview of Matrix concepts,NULL
2,topic,Linear Transforms and the Matrix,Overview of Linear Transforms concepts,NULL
3,topic,Manipulating the Matrix,Overview of Manipulating Matrix concepts,NULL
4,topic,Inverting the Matrix,Overview of Inverting Matrix concepts,NULL
5,concept,Vector Application,"Vectors used for data representation such as displacement, velocity, probabilities, time series data 

",1
6,concept,Difference between Set and Vectors,Sets are unordered and Vectors are ordered ,1
7,concept,Vector Norm,"The vector norm, also known as the magnitude or length of a vector, measures the size of the vector. It is calculated using the square root of the sum of the squares of its components, representing the 'distance' of the vector from the origin in space.",1
8,concept,Vector Addition,Vector addition is the operation of adding two vectors by summing their corresponding components. The result is a new vector that represents the combined effect of the two vectors' magnitudes and directions.,1
9,concept,Scalar Vector Multiplication,"Scalar vector multiplication involves multiplying each component of a vector by a scalar. This operation scales the vector's magnitude by the scalar, without changing its direction (unless the scalar is negative).",1
10,concept,Unit Vectors,"Unit vectors are vectors with a magnitude of 1. They are used to represent direction, and any vector can be converted into a unit vector by dividing it by its magnitude.",1
11,concept,Transpose Vector,The transpose of a vector involves converting a column vector into a row vector (or vice versa). This operation is crucial in matrix operations and is often used in linear transformations.,1
12,concept,Column Vector,"A column vector is a matrix with a single column of numbers, representing a point or direction in space. It is commonly used in systems of equations and matrix multiplication.",1
13,concept,Row Vector,"A row vector is a matrix with a single row of numbers. It represents a vector in a horizontal form, often used in matrix operations and for transposition in mathematical calculations.",1
14,concept,Special Basis Vector,"Special basis vectors, also known as standard basis vectors, are a set of vectors that form the foundation of a vector space. In n-dimensional space, they are typically denoted as e₁, e₂, ..., eₙ, where each vector has a magnitude of 1 and is aligned with one of the axes. For example, in 3D space, e₁ = [1, 0, 0], e₂ = [0, 1, 0], and e₃ = [0, 0, 1]. These vectors provide a reference frame for expressing other vectors in terms of their components along the axes.",1
15,concept,Transformation,"Transformations describe how objects move or change. Examples include rotation, scaling, and projection.
A transformation T maps an input vector to an output vector, often described as 
T(u) = [T₁(u₁, u₂), T₂(u₁, u₂)]ᵀ.
 ",2
16,concept,Linear Transformation,"A transformation T: ℝⁿ → ℝᵐ is linear if: T(αv + βu) = αT(v) + βT(u). A function between vector spaces that preserves vector addition and scalar multiplication, often represented by a matrix.",2
17,concept,Linear Transformation Examples,"Example 1: T(x, y) = (x², y) → Not linear 
Squaring x breaks scalar multiplication.
Example 2: T(x, y) = (y, x) → Linear",2
18,concept,Matrix Representation of Linear Transformation ,"Any linear transformation can be represented as a matrix A such that T(v) = Av. Matrix A is formed from the transformed basis vectors: A = [T(e₁), T(e₂), ..., T(eₙ)].  A is built by checking what happens to each basis vector.",2
19,concept,Rotation by 90° (Counterclockwise) Transformation,"T(e₁) = [0, 1], T(e₂) = [-1, 0] → A = [0, -1; 1, 0]
",2
